Song Name,Megasync,Memory Card,,
Feast Your Eyes Mastodon,x,y,,
True Believer Testament,x,p,,
Born in a Rut Testament,x,p,,
Jun-Jun Testament,x,p,,
Over The Wall Testament,x,p,,
Frames Crossnail,,,,
Golden Age Kreator,x,y,,
Violent Revolution Kreator,x,y,,
"Your Heaven, My Hell Kreator",x,y,,
Willing Spirit Kreator,x,y,,
Violent Revolution Kreator,xx,,,
Satan Is Real Kreator,,,,
Chosen Time Jeff Loomis,,,,
Dirty Deeds Done Dirt Cheap AC/DC,x,y,,
T.N.T. AC/DC,x,y,,
Smoke On The Water - 1997 Remastered Version Deep Purple,,,,
USA Dubioza kolektiv,,,,
Free.Mp3 - The Pirate Bay Song Dubioza kolektiv,,,,
Russian Dancing Men Mr Weebl,,,,
Perfect Strangers Deep Purple,,,,
Iron Man Black Sabbath,,,,
No More Tears Ozzy Osbourne,x,y,,
Crazy Train - Remastered Ozzy Osbourne,x,y,,
Tape Loop Morcheeba,,,,
Scarborough Stomp Joe Satriani,,,,
#NAME?,x,,,
Lights of Heaven Joe Satriani,,,,
Big City Life Mattafix,,,,
Gates of Horn and Ivory The Agonist,,,,
War of the Gods Amon Amarth,,,,
Deceiver of the Gods Amon Amarth,,,,
Twilight Of The Thunder God Amon Amarth,,,,
March of Mephisto (feat. Shagrath) Kamelot,,,,
Liar Liar (Wasteland Monarchy) Kamelot,,,,
Nightfall Xandria,x,,,
So wie Du warst Unheilig,,,,
Zeit zu gehen Unheilig,,,,
Miststück 2012 Eisbrecher,,,,
Zwischen uns Eisbrecher,,,,
I Miss The Misery Halestorm,,,,
The Hand That Feeds Nine Inch Nails,x,y,,
Every Day Is Exactly The Same Nine Inch Nails,x,y,,
March Of The Pigs Nine Inch Nails,x,y,,
Trip the Darkness Lacuna Coil,x,y,,
Spellbound Lacuna Coil,x,y,,
I Forgive (But I Won't Forget Your Name) Lacuna Coil,x,y,,
Falling Again Lacuna Coil,x,y,,
Swamped Lacuna Coil,x,y,,
Daylight Dancer Lacuna Coil,x,y,,
Devoted Lacuna Coil,x,y,,
"Thank You, Pain The Agonist",,,,
Dark Cell Deadlock,,,,
Never Enough Epica,,,,
Hybris Deadlock,,,,
The Nexus Amaranthe,,,,
Cry for the Moon (The Embrace That Smothers Part 4) Epica,,,,
We Shall All Bleed Deadlock,,,,
Code Of Honor Deadlock,,,,
Panophobia The Agonist,,,,
...and Their Euglogies Sang Me To Sleep The Agonist,,,,
Losing My Religion Lacuna Coil,x,y,,
Heaven's A Lie Lacuna Coil,x,y,,
Our Truth Lacuna Coil,x,y,,
Nemo Nightwish,x,y,,
The Unforgiven III Metallica,,,,
The Day That Never Comes Metallica,,,,
Trigger Hippie Morcheeba,,,,
Blindfold Morcheeba,,,,
Enjoy The Ride Morcheeba,,,,
Blood Like Lemonade Morcheeba,,,,
6 Underground Sneaker Pimps,,,,
6 Underground Sneaker Pimps,,,,
Like Humans Do - Edited Version David Byrne,,,,
Mad About You Hooverphonic,,,,
Piano Man Billy Joel,,,,
The Sky Is Burning Sam Gopal,,,,
The Dark Lord Sam Gopal,,,,
The Pride Five Finger Death Punch,,,,
Bad Company Five Finger Death Punch,,,,
Wrong Side of Heaven Five Finger Death Punch,,,,
Paradise Circus - Gui Boratto Remix Massive Attack,,,,
Teardrop Massive Attack,,,,
The Sea Morcheeba,,,,
Sour Times Portishead,,,,
Roads Portishead,,,,
Glory Box Portishead,,,,
Another Way To Die Disturbed,x,,,
Ov Fire And The Void Behemoth,,,,
Different World Iron Maiden,x,y,,
WWIII KMFDM,,,,
Wasted Years - 1998 Remastered Version Iron Maiden,,,,
Children Of The Damned - 1998 Remastered Version Iron Maiden,,,,
Speed Of Light Iron Maiden,,,,
The Number Of The Beast - 1998 Remastered Version Iron Maiden,,,,
Rip & Tear Mick Gordon,,,,
The Legacy Testament,x,p,,
No Excuses Alice In Chains,,,,
In Quest Of Enigmatic Dreams Old Man's Child,,,,
PUSSY Rammstein,x,y,,
MEIN TEIL Rammstein,x,y,,
Mein Herz Brennt Rammstein,x,y,,
Links 2 3 4 Rammstein,x,y,,
Engel Rammstein,x,y,,
Ich Will Rammstein,x,y,,
AMERIKA Rammstein,x,y,,
Sonne Rammstein,x,y,,
Feuer Frei Rammstein,x,y,,
Du hast Rammstein,x,y,,
Once More 'Round The Sun Mastodon,x,y,,
Crystal Ann (98 Reissue) Annihilator,,,,
Descending Lamb of God,x,y,,
512 Lamb of God,x,y,,
Hourglass Lamb of God,x,y,,
Walk with Me In Hell Lamb of God,x,y,,
Omerta Lamb of God,x,y,,
Now You've Got Something to Die For Lamb of God,x,y,,
The End In Flames,,,,
Endorama Kreator,x,,,
Impossible Brutality Kreator,x,,,
The Shining Black Sabbath,,,,
I Am The Law Anthrax,x,,,
Madhouse Anthrax,x,,,
Got The Time Anthrax,x,,,
Got The Time Anthrax,x,,,
Until The World Goes Cold Trivium,,,,
Blackout Scorpions,x,,,
The Stellar Sunset of Evolution Pt. 2 (The Rise) Wretched,,,,
(Don't Fear) The Reaper Blue Öyster Cult,,,,
Smoke On the Water Deep Purple,,,,
Refuse / Resist Sepultura,,,,
Highway Star Deep Purple,,,,
N.I.B. Black Sabbath,,,,
Disco Inferno - Single Edit The Trammps,,,,
Ashes of the Wake Lamb of God,x,y,,
Nailed by the Hammer of Frankenstein Lordi,,,,
Give Your Life For Rock And Roll Lordi,,,,
It Snows In Hell Lordi,,,,
When I'm Gone Eminem,,,,
The Smoke Of Many Fires Be'lakor,,,,
An Ember's Arc Be'lakor,,,,
Victim Of Changes Judas Priest,x,p,,
Electric Eye Judas Priest,x,p,,
Turbo Lover Judas Priest,x,p,,
Living After Midnight Judas Priest,x,p,,
Painkiller Judas Priest,x,p,,
Breaking the Law Judas Priest,x,p,,
Weak Fantasy (Instrumental) Nightwish,,,,
The Secret Pt. 1 DGM,,,,
Something For The Ages Hammerfall,,,,
Sting Of The Bumblebee Manowar,,,,
Mr. Scary Dokken,,,,
Enemy Of God Kreator,x,y,,
Chosen Few Kreator,x,y,,
Phantom Antichrist Kreator,x,y,,
Far Beyond The Sun Yngwie Malmsteen,,,,
God Of Forbidden Light Dissection,x,,,
Maha-Kali Dissection,x,y,,
Black Dragon Dissection,,,,
Powershifter Fear Factory,x,y,,
Regenerate Fear Factory,,,,
Fear Campaign Fear Factory,x,y,,
Recharger Fear Factory,x,y,,
Acres Of Skin Fear Factory,x,y,,
Linchpin Fear Factory,x,y,,
Becoming The Bull Atreyu,,,,
Lonkkaluut Korpiklaani,x,y,,
Tuoppi Oltta Korpiklaani,x,y,,
Päät Pois Tai Hirteen Korpiklaani,x,y,,
Metsämies Korpiklaani,x,y,,
Tapporauta Korpiklaani,x,y,,
Luontoni Korpiklaani,x,y,,
FC Lahti Korpiklaani,x,y,,
Ämmänhauta Korpiklaani,x,y,,
Sahti Korpiklaani,x,y,,
Ievan Polkka Korpiklaani,x,y,,
Viinamäen Mies Korpiklaani,x,y,,
Tervaskanto Korpiklaani,x,y,,
Lempo Korpiklaani,x,y,,
Inis Mona Eluveitie,x,,,
Vodka Korpiklaani,x,y,,
Vaarinpolkka Korpiklaani,x,y,,
Beyond Redemption The Forsaken,,,,
The Tribulation of Man Oracles,,,,
Lashed To the Slave Stick Nile,,,,
Primal Recoil Blood Red Throne,,,,
Jailbait Motörhead,x,y,,
Shoot You In the Back Motörhead,x,y,,
Bomber Motörhead,x,y,,
No Class Motörhead,x,y,,
Iron Fist Motörhead,x,y,,
Love Me Like a Reptile Motörhead,x,y,,
(We Are) The Roadcrew Motörhead,x,y,,
Till The End Motörhead,,,,
Victory Or Die Motörhead,,,,
Thunder & Lightning Motörhead,,,,
Sympathy For The Devil Motörhead,,,,
King of Kings (Triple H) Motörhead,x,y,,
Ace of Spades Motörhead,x,y,,
Killed by Death Motörhead,,,,
Killed By Death Motörhead,,,,
The Four Horsemen (Remastered) Metallica,,,,
Cold Flesh Citadel Katalepsy,,,,
Aether Eyes The Healing,,,,
MonstroCity Meshuggah,,,,
Born In Dissonance Meshuggah,,,,
Clockworks Meshuggah,,,,
Bleed Meshuggah,x,y,,
Rotting In Vain Korn,x,y,,
Angel In Disgrace The Raven Age,,,,
The Great Disillusion Betraying The Martyrs,,,,
Mass Extinction Six Jonestown,,,,
My Allied Ocean Evergrey,,,,
Arise Any Given Day,,,,
Hardwired Metallica,,,,
Ghetto Gospel 2Pac,,,,
Canto 34 Five Finger Death Punch,,,,
Five Vicodin Chased With A Shot Of Clarity - Instrumental Version Atreyu,,,,
Monster in Me Mors Principium Est,x,p,,
We Are the Sleep Mors Principium Est,x,p,,
The Sacrilegious Scorn Dimmu Borgir,,,,
The Pursuit Of Vikings Amon Amarth,,,,
Initiate Haken,,,,
Lift Me Up (feat. Rob Halford of Judas Priest) Five Finger Death Punch,,,,
Alive Wage War,x,,,
A Different World (feat. Corey Taylor) Korn,,,,
TriggerPulse Kobra And The Lotus,,,,
Ashes of Fate Logical Terror,,,,
Cowboys From Hell Pantera,x,y,,
Aces High - 1998 Remastered Version Iron Maiden,,,,
Cocaine Eric Clapton,,,,
Tears In Heaven Eric Clapton,,,,
Suicide & Redemption Metallica,,,,
Layla - Live in San Diego Eric Clapton,,,,
Layla Eric Clapton,,,,
Enter Sandman Metallica,x,y,,
Orion (Instrumental) Metallica,,,,
God Damn Avenged Sevenfold,,,,
At War Conquer Divide,,,,
Phantom Fear Architects,,,,
Atoma Dark Tranquillity,x,y,,
Back In Black AC/DC,x,y,,
Mr. Crowley Ozzy Osbourne,x,y,,
I Want Out Helloween,x,y,,
Bark at the Moon Ozzy Osbourne,x,y,,
The Devil In I Slipknot,,,,
You've Got Another Thing Comin' Judas Priest,x,p,,
All Along the Watchtower Jimi Hendrix,,,,
Crazy Train Ozzy Osbourne,x,y,,
25 Or 6 To 4 - Remastered Chicago,,,,
Dum Dee Dum - JiKay Remix Keys N Krates,,,,
Desolation Lamb of God,x,y,,
House Of The Rising Sun Five Finger Death Punch,,,,
The Faded Line Lamb of God,x,,,
Ghost Walking Lamb of God,x,y,,
Fake Messiah Lamb of God,,,,
Foot to the Throat Lamb of God,,,,
Still Echoes Lamb of God,x,y,,
Grace Lamb of God,x,y,,
Remorse Is for the Dead Lamb of God,x,y,,
Embers Lamb of God,x,y,,
Redneck Lamb of God,x,y,,
Wash It All Away Five Finger Death Punch,,,,
Bitter Metallic Side Kalmah,x,,,
Encircled Dark Tranquillity,x,y,,
Needled 24 / 7 Children Of Bodom,,,,
Wolves On The Throne Kalmah,x,y,,
Through My Eyes In Flames,x,,,
The Black Waltz Kalmah,x,,,
Pikemaster Kalmah,x,,,
Rotten Apple Alice In Chains,,,,
Faithless by Default Dark Tranquillity,x,y,,
Are You Dead Yet Children Of Bodom,x,y,,
Holy Symphony of War Kalmah,,,,
The End In Flames,,,,
Moonage Daydream - 2012 Remastered Version David Bowie,,,,
Life On Mars? - 2015 Remastered Version David Bowie,,,,
Starman - 2012 Remastered Version David Bowie,,,,
Space Oddity - 1999 Remastered Version David Bowie,,,,
Sultans Of Swing Dire Straits,,,,
The Mayor Of Candor Lied Harry Chapin,,,,
American Pie Don McLean,,,,
Enjoy The Silence Lacuna Coil,x,y,,
Only Ash Remains Necrophagist,,,,
Stabwound Necrophagist,,,,
Alias In Flames,x,y,,
The Trooper - 1998 Remastered Version Iron Maiden,x,y,,
Blood and Thunder Mastodon,x,y,,
Laid to Rest Lamb of God,x,y,,
True North Bad Religion,x,y,,
Holy Mountains System of a Down,,,,
Cigaro System of a Down,,,,
Radio/Video System of a Down,,,,
Aerials System of a Down,,,,
Hypnotize System of a Down,x,y,,
Violent Pornography System of a Down,x,y,,
Lonely Day System of a Down,x,y,,
Toxicity System of a Down,x,y,,
B.Y.O.B. System of a Down,x,y,,
Chop Suey! System of a Down,x,y,,
Too Drunk to Fuck Dead Kennedys,x,y,,
California Uber Alles Dead Kennedys,x,y,,
Holiday In Cambodia Dead Kennedys,x,y,,
Bombtrack - Remastered Rage Against The Machine,x,y,,
Take The Power Back - Remastered Rage Against The Machine,x,y,,
Killing In The Name - Remastered Rage Against The Machine,x,y,,
Bulls On Parade Rage Against The Machine,x,y,,
Sleepwalker Parkway Drive,,,,
Digital World Amaranthe,x,y,,
I Want To Conquer The World Bad Religion,x,y,,
You Bad Religion,x,y,,
Generator Bad Religion,x,y,,
American Jesus Bad Religion,x,y,,
21st Century Bad Religion,x,y,,
Fuck You Bad Religion,x,y,,
"You Don't Remember, I'll Never Forget Yngwie Malmsteen",,,,
Dream On Ronnie James Dio,,,,
Black Star Yngwie Malmsteen,,,,
Rising Force Yngwie Malmsteen,,,,
Acid Rain Liquid Tension Experiment,,,,
Into The Arena - 2000 Remastered Version Michael Schenker Group,,,,
Fight Till Death Slayer,x,y,,
Creative Captivity August Burns Red,,,,
Cemetery Gates Pantera,x,y,,
Creeping Death Metallica,x,y,,
Roots Bloody Roots Sepultura,x,y,,
Cirice Ghost B.C.,,,,
Battery Metallica,x,y,,
Drop Dead Cynical Amaranthe,x,y,,
It's the End of the World As We Know It (And I Feel Fine) R.E.M.,,,,
Wish I Had An Angel Nightwish,x,y,,
Overkill Motörhead,x,y,,
The Call Of Ktulu (Live with the SFSO) Metallica,,,,
Remnants Disturbed,,,,
Black Star Yngwie Malmsteen,,,,
Mystery - Instrumental Dead by April,,,,
The Crusade Trivium,,,,
Metal Health (Bang Your Head) Quiet Riot,,,,
Master Of Puppets Metallica,x,y,,
Where Eagles Dare - 1998 Remastered Version Iron Maiden,x,y,,
Raining Blood Slayer,x,y,,
Doctor Doctor UFO,x,y,,
Metal Church Metal Church,,,,
Electric Crown Testament,x,p,,
Flor d'Luna (Moonflower) Santana,,,,
She's Not There Santana,,,,
Europa (Earth's Cry Heaven's Smile) Santana,,,,
Dance Sister Dance (Baila Mi Hermana) Santana,,,,
Black Magic Woman / Gypsy Queen Santana,,,,
Zulu Santana,,,,
Let the Children Play Santana,,,,
Con Santana Santana,,,,
Just Feel Better Santana,,,,
Saideira - Live Santana,,,,
Samba Pa Ti Santana,,,,
The Game of Love - Main / Radio Mix Santana,,,,
Oye Como Va - Album Verision Santana,,,,
Black Magic Woman Santana,,,,
Smooth Santana,,,,
Corazon Espinado Santana,,,,
We're Goin' in. We're Going Down. Cloudkicker,,,,
Moth Into Flame Metallica,x,y,,
Fight Fire With Fire (Remastered) Metallica,x,y,,
Tornado Of Souls - 2004 Digital Remaster Megadeth,x,y,,
I Want Out Helloween,x,y,,
Wild Child W.A.S.P.,x,y,,
Killer Queen - Remastered 2011 Queen,,,,
Killer Queen - Remastered 2011 Queen,,,,
Crazy Little Thing Called Love - Remastered 2011 Queen,,,,
Radio Ga Ga - Remastered 2011 Queen,,,,
You're My Best Friend - Remastered 2011 Queen,,,,
The Show Must Go On - Remastered 2011 Queen,,,,
I Want To Break Free - Single Remix Queen,,,,
We Are The Champions - Remastered 2011 Queen,,,,
Bohemian Rhapsody - Remastered 2011 Queen,,,,
Don't Stop Me Now - Remastered 2011 Queen,,,,
Another One Bites The Dust - Remastered 2011 Queen,,,,
Under Pressure - Remastered 2011 Queen,,,,
We Will Rock You - Remastered 2011 Queen,,,,
Angels Fall Breaking Benjamin,,,,
The Diary Of Jane Breaking Benjamin,x,y,,
I Will Not Bow Breaking Benjamin,x,y,,
Lost to Apathy Dark Tranquillity,x,y,,
Terminus (Where Death is Most Alive) Dark Tranquillity,x,y,,
The Treason Wall Dark Tranquillity,x,y,,
Der Flieger Eisbrecher,,,,
ShutEmDown Celldweller,,,,
The Raven The Black Dahlia Murder,x,y,,
Cimmerian Shamballa Wretched,,,,
Last Straw Born Of Osiris,x,y,,
Moonlight Equilibrium The Black Dahlia Murder,x,y,,
Feasting on the Blood of the Insane Six Feet Under,x,y,,
A Dream That Cannot Be Amon Amarth feat. Doro Pesch,x,y,,
The Way of Vikings Amon Amarth,x,y,,
Moonshine Limbo Trepalium,,,,
Verbal - Prefuze 73 Mix Amon Tobin,,,,
Canto 34 Five Finger Death Punch,x,y,,
Nightmare Polyphia,x,,,
Hot For Teacher Van Halen,x,y,,
Rock You Like A Hurricane Scorpions,x,y,,
Nuvole bianche Ludovico Einaudi,x,y,,
Catching Fireflies The Soul's Release,x,y,,
Painkiller Judas Priest,x,y,,
2 Minutes To Midnight - 1998 Remastered Version Iron Maiden,x,y,,
The USSR Song The Red Army Choir,,,,
The Russian Walk The Red Army Choir,x,y,,
Subjected to a Beating Dying Fetus,x,y,,
Homage For Satan Deicide,x,y,,
Scars Of The Crucifix Deicide,x,y,,
The Motherload Mastodon,x,y,,
Cloud Connected In Flames,x,y,,
Only for the Weak In Flames,x,y,,
The Serpentine Offering Dimmu Borgir,x,y,,
Gateways Dimmu Borgir,x,y,,
Sorgens Kammer Dimmu Borgir,x,y,,
Satan-Prometheus Gorgoroth,x,y,,
Prayer Gorgoroth,x,y,,
Radix malorum Gorgoroth,x,y,,
Dead By Dawn - Reissue Deicide,x,y,,
The Gunner's Song The Red Army Choir,,,,
I Go Out In The Street Choir and Orchestra of the Red Army,,,,
Octy Cernye (Black Eyes) Choir and Orchestra of the Red Army,,,,
Soliko Choir and Orchestra of the Red Army,,,,
Ring Little Bell Choir and Orchestra of the Red Army,,,,
Hey. Iamscik Gonica Kiaru Choir and Orchestra of the Red Army,,,,
Za Dunaem Choir and Orchestra of the Red Army,,,,
Along The River Choir and Orchestra of the Red Army,,,,
Poliuscko-Pole (Plain. My Plain) Choir and Orchestra of the Red Army,,,,
Don't Talk To Strangers Dio,x,y,,
Holy Diver Dio,x,y,,
Rainbow In The Dark Dio,x,y,,
If Eternity Should Fail Iron Maiden,x,y,,
Wasted Years - 1998 Remastered Version Iron Maiden,x,y,,
The Gods Made Heavy Metal Manowar,x,y,,
Metal Warriors Manowar,x,y,,
Carry On Manowar,x,y,,
Fighting The World Manowar,x,y,,
Kings Of Metal Manowar,x,y,,
Battle Hymn Manowar,x,y,,
Hard Rock Hallelujah Lordi,x,y,,
Shepherd of Fire Avenged Sevenfold,x,y,,
Bat Country Avenged Sevenfold,x,y,,
The Last Fight Bullet For My Valentine,x,y,,
All These Things I Hate (Revolve Around Me) Bullet For My Valentine,x,y,,
You Want a Battle? (Here's a War) Bullet For My Valentine,x,y,,
Your Betrayal Bullet For My Valentine,x,y,,
In the Minds of Evil Deicide,x,y,,
Once Upon The Cross Deicide,x,y,,
In League With Satan Six Feet Under,x,y,,
Smoke On The Water Six Feet Under,x,y,,
Marigold Periphery,,,,
While We Sleep Insomnium,x,y,,
God Has Fallen Mors Principium Est,x,y,,
Sail DevilDriver,x,y,,
The Sound Of Truth As I Lay Dying,x,y,,
No Excuses Alice In Chains,x,y,,
Man in the Box Alice In Chains,x,y,,
Would? Alice In Chains,x,y,,
Burden In My Hand Soundgarden,x,y,,
Outshined Soundgarden,x,y,,
Rusty Cage Soundgarden,x,y,,
Fell On Black Days Soundgarden,x,y,,
Spoonman Soundgarden,x,y,,
Black Hole Sun Soundgarden,x,y,,
WE ALL DIE YOUNG STEELHEART,x,y,,
Dream On Aerosmith,x,y,,
TNT Six Feet Under,x,y,,
